Account Number,Fund Number,Fund,Group Fund,Department,Division,Basic Activity,Sub Activity,Element,Account Name,Year,Amount,,,,,,,,,,,,,,
120-1526-452.05-06,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,OTHER SERVICES,ADVERTISING/PROMOTIONAL,2019,"$2,000",,,,,,,,,,,,,,
120-1526-452.05-55,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,OTHER SERVICES,LIABILITY INSUR COVERAGE,2019,"$2,190",,,,,,,,,,,,,,
120-1526-452.06-01,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,SUPPLIES,OFFICE SUPPLIES,2019,$200,,,,,,,,,,,,,,
120-1526-452.06-09,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,SUPPLIES,CONCESSION SUPPLIES,2019,"$8,000",,,,,,,,,,,,,,
120-1526-452.06-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,SUPPLIES,OPERATING SUPPLIES,2019,"$11,425",,,,,,,,,,,,,,
120-1526-452.06-31,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,SUPPLIES,MAINTENANCE SUPPLIES,2019,"$1,500",,,,,,,,,,,,,,
120-1526-452.06-33,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,SUPPLIES,CHEMICAL SUPPLIES,2019,"$12,600",,,,,,,,,,,,,,
120-1526-452.06-36,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,SUPPLIES,MEDICAL SUPPLIES,2019,$200,,,,,,,,,,,,,,
120-1526-452.08-36,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,CAPITAL IMPROVEMENTS,IT CAPITAL CHARGEBACK,2019,$0,,,,,,,,,,,,,,
120-1526-452.10-85,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,POOL,RECREATION/CULTURE,PARK,INTERFUND TRANSFERS,TO DEBT SERVICE,2019,"$173,910",,,,,,,,,,,,,,
120-1541-452.01-01,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SALARIES/WAGES,FULL TIME SALARIES,2019,"$162,035",,,,,,,,,,,,,,
120-1541-452.01-04,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SALARIES/WAGES,LABOR SAVINGS CONTRA ACCT,2019,"-$4,860",,,,,,,,,,,,,,
120-1541-452.01-11,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SALARIES/WAGES,OVERTIME PAY,2019,$0,,,,,,,,,,,,,,
120-1541-452.01-16,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SALARIES/WAGES,STAND-BY PAY,2019,$0,,,,,,,,,,,,,,
120-1541-452.01-17,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SALARIES/WAGES,SHIFT PAY,2019,$0,,,,,,,,,,,,,,
120-1541-452.01-23,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SALARIES/WAGES,DUTY DISABILITY,2019,$0,,,,,,,,,,,,,,
120-1541-452.01-24,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SALARIES/WAGES,ACCUMULATED SICK LEAVE,2019,$0,,,,,,,,,,,,,,
120-1541-452.01-25,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SALARIES/WAGES,WORKERS COMPENSATION,2019,$0,,,,,,,,,,,,,,
120-1541-452.01-26,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SALARIES/WAGES,DUTY DISABILITY,2019,$0,,,,,,,,,,,,,,
120-1541-452.02-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,RETIREMENT-FICA/MEDICARE,2019,"$12,395",,,,,,,,,,,,,,
120-1541-452.02-35,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,RETIREMENT-IMRF,2019,"$11,345",,,,,,,,,,,,,,
120-1541-452.02-50,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,GROUP HEALTH INSURANCE,2019,"$21,185",,,,,,,,,,,,,,
120-1541-452.02-51,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,EMPLOYER HSA CONTRIBUTION,2019,$0,,,,,,,,,,,,,,
120-1541-452.02-55,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2019,$200,,,,,,,,,,,,,,
120-1541-452.03-21,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,SEASONAL EMPLOYMENT,2019,"$81,795",,,,,,,,,,,,,,
120-1541-452.03-36,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,PROFESSIONAL SERVICES,MUNICIPAL IT CHARGES,2019,"$4,595",,,,,,,,,,,,,,
120-1541-452.04-15,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,PROPERTY SERVICES,RENTAL EXPENSE,2019,$0,,,,,,,,,,,,,,
120-1541-452.04-16,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,PROPERTY SERVICES,UTILITY SERVICES,2019,"$14,265",,,,,,,,,,,,,,
120-1541-452.04-25,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,PROPERTY SERVICES,CONTRACTUAL REPAIRS,2019,"$14,150",,,,,,,,,,,,,,
120-1541-452.04-26,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,PROPERTY SERVICES,MAINT SERVICE CONTRACTS,2019,"$58,615",,,,,,,,,,,,,,
120-1541-452.04-28,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,PROPERTY SERVICES,VEHICLE LEASE,2019,"$24,105",,,,,,,,,,,,,,
120-1541-452.04-29,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,PROPERTY SERVICES,NON-MAINT FLEET REPAIRS,2019,$0,,,,,,,,,,,,,,
120-1541-452.04-40,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,PROPERTY SERVICES,TAXES,2019,"$2,985",,,,,,,,,,,,,,
120-1541-452.05-02,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,OTHER SERVICES,PRINTING/DUPLICATING,2019,$300,,,,,,,,,,,,,,
120-1541-452.05-03,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,OTHER SERVICES,TELECOMMUNICATIONS,2019,$300,,,,,,,,,,,,,,
120-1541-452.05-04,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,OTHER SERVICES,POSTAGE/SHIPPING,2019,"$2,260",,,,,,,,,,,,,,
120-1541-452.05-05,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,OTHER SERVICES,MEMBERSHIPS/PUBLICATIONS,2019,$225,,,,,,,,,,,,,,
120-1541-452.05-06,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,OTHER SERVICES,ADVERTISING/PROMOTIONAL,2019,$500,,,,,,,,,,,,,,
120-1541-452.05-10,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,OTHER SERVICES,TRAVEL ON CITY BUSINESS,2019,"$1,090",,,,,,,,,,,,,,
120-1541-452.05-55,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,OTHER SERVICES,LIABILITY INSUR COVERAGE,2019,"$2,820",,,,,,,,,,,,,,
120-1541-452.06-01,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SUPPLIES,OFFICE SUPPLIES,2019,$400,,,,,,,,,,,,,,
120-1541-452.06-30,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SUPPLIES,OPERATING SUPPLIES,2019,"$2,700",,,,,,,,,,,,,,
120-1541-452.06-31,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SUPPLIES,MAINTENANCE SUPPLIES,2019,"$2,500",,,,,,,,,,,,,,
120-1541-452.06-33,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SUPPLIES,CHEMICAL SUPPLIES,2019,"$2,000",,,,,,,,,,,,,,
120-1541-452.06-37,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SUPPLIES,SMALL TOOLS,2019,"$2,200",,,,,,,,,,,,,,
120-1541-452.06-38,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SUPPLIES,SAFETY EQUIPMENT,2019,$250,,,,,,,,,,,,,,
120-1541-452.06-65,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SUPPLIES,OTHER SUPPLIES/SERVICES,2019,"$18,970",,,,,,,,,,,,,,
120-1541-452.06-66,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,SUPPLIES,VEHICLE FUEL/LUBRICANTS,2019,"$6,420",,,,,,,,,,,,,,
120-1541-452.08-36,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,CAPITAL IMPROVEMENTS,IT CAPITAL CHARGEBACK,2019,$0,,,,,,,,,,,,,,
120-1541-452.08-50,120,PARK FUND,SPECIAL REVENUE FUNDS,PARK,CEMETERY,RECREATION/CULTURE,PARK,CAPITAL IMPROVEMENTS,PARK CONTRACTS,2019,"$50,000",,,,,,,,,,,,,,
220-9838-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 260 JD ROAD WIDE,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2019,"$62,195",,,,,,,,,,,,,,
220-9840-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 13-00258-00-LS,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2019,$0,,,,,,,,,,,,,,
220-9848-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 16-00000-00-GM,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2019,$0,,,,,,,,,,,,,,
220-9849-436.08-20,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 16-00265-00-ES,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,BRIDGE CONTRACTS,2019,$0,,,,,,,,,,,,,,
220-9850-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 14-00256-00-RS,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2019,"$45,670",,,,,,,,,,,,,,
220-9851-436.08-20,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 15-00262-00-BR,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,BRIDGE CONTRACTS,2019,"$30,930",,,,,,,,,,,,,,
220-9853-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 17-00271-00-RS,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2019,"$90,615",,,,,,,,,,,,,,
220-9854-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 17-00268-00-RS,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2019,"$520,000",,,,,,,,,,,,,,
220-9855-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 17-00270-00-PV,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2019,"$500,000",,,,,,,,,,,,,,
220-9856-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 17-00265-00-PV,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2019,"$98,310",,,,,,,,,,,,,,
220-9857-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 17-00269-00-PV,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2019,$0,,,,,,,,,,,,,,
220-9858-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 19-00271-00-ES,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2019,"$200,000",,,,,,,,,,,,,,
220-9860-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 20-00000-00-GM,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2019,$0,,,,,,,,,,,,,,
220-9861-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 20-00000-01-GM,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2019,$0,,,,,,,,,,,,,,
220-9862-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 20-00000-02-GM,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2019,$0,,,,,,,,,,,,,,
220-9863-436.08-25,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 20-00000-03-GM,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,DRAINAGE CONTRACTS,2019,$0,,,,,,,,,,,,,,
220-9864-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 13-00255-00-PV,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2019,$0,,,,,,,,,,,,,,
220-9865-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 20-00273-00-PV,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2019,$0,,,,,,,,,,,,,,
220-9866-436.08-10,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,20-00274-00-PV,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,STREET CONTRACTS,2019,$0,,,,,,,,,,,,,,
220-9868-436.08-17,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON-DEPARTMENTAL,SECTION 20-00275-00-BT,GENERAL GOVERNMENT,MFT,CAPITAL IMPROVEMENTS,SIDEWALK CONTRACTS,2019,$0,,,,,,,,,,,,,,
220-9955-436.10-99,220,MOTOR FUEL TAX FUND,SPECIAL REVENUE FUNDS,NON DEPARTMENTAL,TRANSFER,GENERAL GOVERNMENT,MFT,INTERFUND TRANSFERS,TRANSFER TO RESERVES,2019,"$397,945",,,,,,,,,,,,,,
230-0721-491.02-55,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2019,"$3,900",,,,,,,,,,,,,,
230-0721-491.03-11,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,GRANT ADMIN SERVICES,2019,$0,,,,,,,,,,,,,,
230-0721-491.03-21,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,SEASONAL EMPLOYMNT AGENCY,2019,"$2,000",,,,,,,,,,,,,,
230-0721-491.03-22,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,PROFESSIONAL/TECHNICAL,2019,"$5,730",,,,,,,,,,,,,,
230-0721-491.03-24,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,COURT/RECORDING FEES,2019,$0,,,,,,,,,,,,,,
230-0721-491.03-31,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,GRANT ADMINISTRATION,2019,"$129,350",,,,,,,,,,,,,,
230-0721-491.04-15,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,PROPERTY SERVICES,RENTAL EXPENSE,2019,$300,,,,,,,,,,,,,,
230-0721-491.04-16,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,PROPERTY SERVICES,UTILITIES,2019,$500,,,,,,,,,,,,,,
230-0721-491.04-40,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,PROPERTY SERVICES,TAXES,2019,$0,,,,,,,,,,,,,,
230-0721-491.05-02,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,PRINTING/DUPLICATING,2019,$500,,,,,,,,,,,,,,
230-0721-491.05-04,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,POSTAGE/SHIPPING,2019,$950,,,,,,,,,,,,,,
230-0721-491.05-05,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,MEMBERSHIP/PUBLICATIONS,2019,"$1,000",,,,,,,,,,,,,,
230-0721-491.05-06,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,ADVERTISMENT/PROMOTIONS,2019,$650,,,,,,,,,,,,,,
230-0721-491.05-10,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,TRAVEL ON CITY BUSINESS,2019,$270,,,,,,,,,,,,,,
230-0721-491.05-55,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,LIAB INS COVERAGE,2019,"$1,865",,,,,,,,,,,,,,
230-0721-491.06-01,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,SUPPLIES,OFFICE SUPPLIES,2019,$915,,,,,,,,,,,,,,
230-0721-491.06-08,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,SUPPLIES,DATA PROCESSING SUPPLIES,2019,$0,,,,,,,,,,,,,,
230-0721-491.06-30,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,SUPPLIES,OPERATING SUPPLIES,2019,$400,,,,,,,,,,,,,,
230-0721-491.06-38,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,ADMINISTRATION,ECONOMIC DEVELOPMENT,CDBG,SUPPLIES,SAFETY EQUIPMENT,2019,$0,,,,,,,,,,,,,,
230-0722-491.02-55,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,EMPLOYEE BENEFITS,PROFESSIONAL DEVELOPMENT,2019,"$1,200",,,,,,,,,,,,,,
230-0722-491.03-11,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,GRANT ADMIN SERVICES,2019,$0,,,,,,,,,,,,,,
230-0722-491.03-21,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,SEASONAL EMPLOYMNT AGENCY,2019,$0,,,,,,,,,,,,,,
230-0722-491.03-22,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,PROFESSIONAL/TECHNICAL,2019,"$4,680",,,,,,,,,,,,,,
230-0722-491.03-24,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,COURT/RECORDING FEES,2019,"$2,410",,,,,,,,,,,,,,
230-0722-491.03-31,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,PROFESSIONAL SERVICES,GRANT ADMINISTRATION,2019,"$98,435",,,,,,,,,,,,,,
230-0722-491.04-15,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,PROPERTY SERVICES,RENTAL EXPENSE,2019,$200,,,,,,,,,,,,,,
230-0722-491.04-29,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,PROPERTY SERVICES,NON-MAINT FLEET REPAIRS,2019,$0,,,,,,,,,,,,,,
230-0722-491.04-40,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,PROPERTY SERVICES,TAXES,2019,$0,,,,,,,,,,,,,,
230-0722-491.05-02,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,PRINTING/DUPLICATING,2019,$0,,,,,,,,,,,,,,
230-0722-491.05-04,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,POSTAGE/SHIPPING,2019,$400,,,,,,,,,,,,,,
230-0722-491.05-05,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,MEMBERSHIP/PUBLICATIONS,2019,"$1,800",,,,,,,,,,,,,,
230-0722-491.05-06,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,ADVERTISMENT/PROMOTIONS,2019,$0,,,,,,,,,,,,,,
230-0722-491.05-10,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,TRAVEL ON CITY BUSINESS,2019,$0,,,,,,,,,,,,,,
230-0722-491.05-55,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,OTHER SERVICES,LIAB INS COVERAGE,2019,"$1,870",,,,,,,,,,,,,,
230-0722-491.06-01,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,SUPPLIES,OFFICE SUPPLIES,2019,$0,,,,,,,,,,,,,,
230-0722-491.06-08,230,COMM DEV BLOCK GRANT,SPECIAL REVENUE FUNDS,COMMUNITY & ECONOMIC DEV,COMMUNITY HOUSING SERVICE,ECONOMIC DEVELOPMENT,CDBG,SUPPLIES,DATA PROCESSING SUPPLIES,2019,$0,,,,,,,,,,,,,,
